nama_gerai,total_review,avg_rating,aspek_rasa,aspek_harga,aspek_pelayanan,aspek_kecepatan,aspek_kebersihan,aspek_stok,aspek_aplikasi,neg_ratio_rasa,neg_ratio_harga,neg_ratio_pelayanan,neg_ratio_kecepatan,neg_ratio_kebersihan,neg_ratio_stok,neg_ratio_aplikasi,confidence_level
Kopi Kenangan - Kota Kasablanka,257,4.1400778210116735,180,54,68,38,66,20,74,0.7055555555555556,0.5740740740740741,0.6764705882352942,0.7368421052631579,0.5454545454545454,0.5,0.22972972972972974,High
KopiKenangan-BlokMPlaza(LG),135,4.192592592592592,90,15,83,29,55,22,42,0.6111111111111112,0.3333333333333333,0.5903614457831325,0.7931034482758621,0.5272727272727272,0.6363636363636364,0.30952380952380953,High
KopiKenangan-CentralPark2,205,4.073170731707317,122,32,87,24,66,12,49,0.680327868852459,0.46875,0.6206896551724138,0.7083333333333334,0.5454545454545454,0.75,0.3673469387755102,High
KopiKenangan-HosCokroaminotoCiledug,93,4.311827956989247,41,6,57,13,32,4,16,0.6829268292682927,0.6666666666666666,0.5614035087719298,0.6923076923076923,0.53125,0.75,0.375,High
KopiKenangan-PlazaBintaroSatoe(Superindo),37,4.027027027027027,22,5,16,9,14,3,10,0.6818181818181818,0.6,0.75,0.6666666666666666,0.5,0.6666666666666666,0.4,High
KopiKenangan-PosPengumbenJakartaBarat,131,4.3893129770992365,84,15,70,12,73,8,33,0.5357142857142857,0.3333333333333333,0.38571428571428573,0.4166666666666667,0.3150684931506849,0.25,0.3333333333333333,High
KopiKenangan-RCVeteran(DriveThru),250,3.928,148,25,94,67,66,27,86,0.5675675675675675,0.56,0.43617021276595747,0.7313432835820896,0.5757575757575758,0.7037037037037037,0.29069767441860467,High
KopiKenangan-RafflesSquareJuandaJakarta,74,3.864864864864865,53,15,36,14,18,8,20,0.6415094339622641,0.7333333333333333,0.5,0.7142857142857143,0.5,0.5,0.3,High
KopiKenangan-RawaBelongJakarta,153,4.052287581699346,93,14,77,18,69,22,31,0.5806451612903226,0.7142857142857143,0.5844155844155844,0.7222222222222222,0.5072463768115942,0.7272727272727273,0.1935483870967742,High
KopiKenangan-RukoBendunganHilir(FCK),125,3.88,84,11,61,27,59,13,45,0.6428571428571429,0.8181818181818182,0.6557377049180327,0.8148148148148148,0.6101694915254238,0.6923076923076923,0.37777777777777777,High
KopiKenangan-RukoCiledugMencong,65,4.3538461538461535,40,6,47,14,14,5,15,0.775,0.6666666666666666,0.5106382978723404,0.6428571428571429,0.5714285714285714,0.8,0.3333333333333333,High
KopiKenangan-RukoGreenville,73,3.452054794520548,40,7,50,17,23,7,22,0.625,0.7142857142857143,0.64,0.8823529411764706,0.6086956521739131,0.8571428571428571,0.45454545454545453,High
KopiKenangan-RukoIrHJuanda3Jakarta,116,4.689655172413793,46,8,68,9,63,1,29,0.4782608695652174,0.5,0.4411764705882353,0.7777777777777778,0.4126984126984127,0.0,0.034482758620689655,High
KopiKenangan-RukoJoglo,187,4.165775401069519,124,17,81,31,69,12,74,0.5967741935483871,0.5882352941176471,0.5308641975308642,0.8064516129032258,0.5217391304347826,0.5833333333333334,0.1891891891891892,High
KopiKenangan-RukoKrendang,95,4.326315789473684,51,10,61,16,52,7,23,0.6078431372549019,0.6,0.5573770491803278,0.75,0.4230769230769231,0.7142857142857143,0.17391304347826086,High
KopiKenangan-RukoLebakBulus,107,4.018691588785047,69,8,60,17,37,10,40,0.5507246376811594,0.75,0.65,0.8235294117647058,0.5405405405405406,0.5,0.35,High
KopiKenangan-RukoMeruyaSelatanJakarta,67,4.2388059701492535,50,5,42,9,25,6,29,0.56,0.2,0.8095238095238095,0.7777777777777778,0.52,0.8333333333333334,0.20689655172413793,High
KopiKenangan-RukoPecenonganJakartaPusat,91,4.362637362637362,60,8,51,20,39,6,29,0.6166666666666667,0.25,0.5490196078431373,0.75,0.4358974358974359,0.8333333333333334,0.20689655172413793,High
KopiKenangan-RukoPuriBeta,142,4.197183098591549,68,16,63,17,41,14,31,0.5735294117647058,0.5625,0.5555555555555556,0.8823529411764706,0.6341463414634146,0.7142857142857143,0.16129032258064516,High
KopiKenangan-RukoPuriUtamaCipondoh,76,4.434210526315789,40,6,55,10,29,2,12,0.65,0.8333333333333334,0.6181818181818182,0.9,0.5862068965517241,0.5,0.3333333333333333,High
KopiKenangan-RukoSabangJakartaPusat,86,4.546511627906977,48,8,54,14,33,5,16,0.5208333333333334,0.5,0.5925925925925926,0.6428571428571429,0.5757575757575758,0.8,0.25,High
KopiKenangan-RukoSawahBesar,125,4.584,65,14,68,18,81,15,29,0.5692307692307692,0.6428571428571429,0.6323529411764706,0.7222222222222222,0.5555555555555556,0.5333333333333333,0.1724137931034483,High
KopiKenangan-SetiabudiJakartaSelatan,98,4.1938775510204085,45,5,41,11,64,9,13,0.6222222222222222,0.6,0.5853658536585366,0.9090909090909091,0.515625,0.7777777777777778,0.23076923076923078,High
KopiKenangan-UrbanHubPalmerah,138,4.246376811594203,63,10,52,33,75,16,15,0.7301587301587301,0.8,0.5384615384615384,0.7272727272727273,0.5733333333333334,0.5625,0.4666666666666667,High
